"시점",계,J 정보통신업(58~63),M 전문 과학 및 기술 서비스업(70~73),P 교육 서비스업(85)
"2013. 01",24287,686,1041,1710
"2013. 02",24215,685,1045,1681
"2013. 03",24736,696,1051,1716
"2013. 04",25322,704,1033,1745
"2013. 05",25610,698,1021,1774
"2013. 06",25686,704,1004,1786
"2013. 07",25681,714,1018,1813
"2013. 08",25513,699,1005,1811
"2013. 09",25701,697,1039,1794
"2013. 10",25798,683,1024,1790
"2013. 11",25795,695,1033,1793
"2013. 12",25248,701,1029,1779
"2014. 01",25050,698,1036,1748
"2014. 02",25116,717,1028,1786
"2014. 03",25463,710,1027,1814
"2014. 04",25985,738,1035,1837
"2014. 05",26112,734,1018,1828
"2014. 06",26178,739,1026,1839
"2014. 07",26280,722,1042,1841
"2014. 08",26183,704,1043,1850
"2014. 09",26213,705,1028,1859
"2014. 10",26247,707,1040,1852
"2014. 11",26260,723,1045,1861
"2014. 12",25679,723,1039,1842
"2015. 01",25392,741,1032,1824
"2015. 02",25471,754,1043,1808
"2015. 03",25766,764,1022,1834
"2015. 04",26153,773,1018,1815
"2015. 05",26431,773,1043,1825
"2015. 06",26440,782,1048,1824
"2015. 07",26538,786,1068,1817
"2015. 08",26369,782,1070,1832
"2015. 09",26487,781,1069,1852
"2015. 10",26519,781,1061,1888
"2015. 11",26469,787,1091,1849
"2015. 12",26098,778,1092,1860
"2016. 01",25646,780,1082,1827
"2016. 02",25615,755,1085,1814
"2016. 03",25980,754,1078,1818
"2016. 04",26325,755,1091,1855
"2016. 05",26613,770,1108,1869
"2016. 06",26718,787,1123,1870
"2016. 07",26765,808,1121,1851
"2016. 08",26696,800,1098,1863
"2016. 09",26697,790,1105,1890
"2016. 10",26746,790,1107,1881
"2016. 11",26762,817,1106,1904
"2016. 12",26347,797,1110,1908
"2017. 01",25878,780,1106,1892
"2017. 02",25979,771,1105,1876
"2017. 03",26443,794,1096,1913
"2017. 04",26744,785,1100,1940
"2017. 05",26992,784,1103,1944
"2017. 06",27020,787,1096,1951
"2017. 07",27078,770,1096,1935
"2017. 08",26904,794,1068,1896
"2017. 09",27011,782,1062,1869
"2017. 10",27026,782,1090,1885
"2017. 11",27019,779,1092,1902
"2017. 12",26604,786,1091,1883
"2018. 01",26213,789,1097,1826
"2018. 02",26083,802,1082,1822
"2018. 03",26555,810,1075,1836
"2018. 04",26868,815,1077,1834
"2018. 05",27064,835,1102,1847
"2018. 06",27126,829,1117,1844
"2018. 07",27083,838,1100,1857
"2018. 08",26907,866,1101,1860
"2018. 09",27055,854,1104,1858
"2018. 10",27090,863,1096,1870
"2018. 11",27184,867,1109,1858
"2018. 12",26638,880,1097,1853
"2019. 01",26232,883,1135,1837
"2019. 02",26346,874,1149,1837
"2019. 03",26805,866,1158,1870
"2019. 04",27038,859,1125,1889
"2019. 05",27322,854,1139,1884
"2019. 06",27408,869,1140,1918
"2019. 07",27383,858,1144,1920
"2019. 08",27358,847,1161,1883
"2019. 09",27404,847,1187,1919
"2019. 10",27509,859,1182,1875
"2019. 11",27515,856,1186,1892
"2019. 12",27154,853,1175,1876
"2020. 01",26800,849,1185,1844
"2020. 02",26838,849,1185,1828
"2020. 03",26609,846,1132,1770
"2020. 04",26562,852,1144,1759
"2020. 05",26930,864,1151,1814
"2020. 06",27055,859,1147,1829
"2020. 07",27106,851,1161,1831
"2020. 08",27085,843,1160,1793
"2020. 09",27012,833,1169,1768
"2020. 10",27088,826,1173,1772
"2020. 11",27241,837,1176,1785
"2020. 12",26526,851,1187,1777
"2021. 01",25818,835,1170,1769
"2021. 02",26365,844,1176,1746
"2021. 03",26923,877,1196,1802
"2021. 04",27214,893,1208,1825
"2021. 05",27550,893,1208,1857
"2021. 06",27637,916,1233,1850
"2021. 07",27648,897,1218,1858
"2021. 08",27603,917,1216,1845
"2021. 09",27683,930,1228,1867
