"","x"
"5","setosa"
"6","setosa"
"7","setosa"
"8","setosa"
"22","setosa"
"24","setosa"
"25","setosa"
"27","setosa"
"28","setosa"
"30","setosa"
"31","setosa"
"37","setosa"
"42","setosa"
"43","setosa"
"49","setosa"
"53","versicolor"
"55","versicolor"
"56","versicolor"
"59","versicolor"
"60","versicolor"
"71","versicolor"
"73","versicolor"
"80","versicolor"
"82","versicolor"
"87","versicolor"
"89","versicolor"
"90","versicolor"
"92","versicolor"
"94","versicolor"
"98","versicolor"
"101","virginica"
"103","virginica"
"108","virginica"
"109","virginica"
"114","virginica"
"115","virginica"
"116","virginica"
"117","virginica"
"119","virginica"
"122","virginica"
"125","virginica"
"129","virginica"
"135","virginica"
"146","virginica"
"150","virginica"
